代码,名称,市场,当前价格,涨跌幅
300607,拓斯达,创业板,86.19,-2.39%
300946,恒而达,创业板,57.20,2.35%
300581,晨曦航空,创业板,19.26,-2.89%
688552,航天南湖,科创板,120.66,2.53%
688648,中邮科技,科创板,136.14,0.76%
300643,万通智控,创业板,68.74,0.29%
688511,*ST天微,科创板,89.33,-1.62%
300949,奥雅股份,创业板,91.76,1.64%
300726,宏达电子,创业板,133.82,1.74%
688115,思林杰,科创板,114.03,0.58%
300652,雷迪克,创业板,161.65,1.21%
300587,天铁科技,创业板,81.04,-2.18%
688165,埃夫特-U,科创板,48.14,0.81%
688081,兴图新科,科创板,161.07,2.52%
300866,安克创新,创业板,20.76,0.23%
300609,汇纳科技,创业板,110.25,-0.04%
300328,宜安科技,创业板,145.22,2.70%
300377,赢时胜,创业板,72.11,-2.18%
688433,华曙高科,科创板,69.71,-1.62%
688297,中无人机,科创板,40.52,2.60%
300923,研奥股份,创业板,19.36,-2.02%
300907,康平科技,创业板,52.20,2.89%
688228,开普云,科创板,110.55,1.13%
688598,金博股份,科创板,9.97,1.82%
002471,中超控股,深证主板,20.52,-1.99%
605055,迎丰股份,上证主板,10.12,-1.10%
603291,联合水务,上证主板,38.21,1.11%
603028,赛福天,上证主板,71.50,2.20%
603595,东尼电子,上证主板,38.35,-0.77%
002547,春兴精工,深证主板,19.46,2.32%
002809,红墙股份,深证主板,174.75,0.84%
002413,雷科防务,深证主板,10.47,1.48%
603906,龙蟠科技,上证主板,110.01,0.09%
603332,苏州龙杰,上证主板,70.01,-1.85%
002860,星帅尔,深证主板,108.79,2.62%
002977,天箭科技,深证主板,145.78,0.74%
002190,成飞集成,深证主板,60.52,-2.54%
603286,日盈电子,上证主板,178.29,-2.55%
600184,光电股份,上证主板,128.68,-2.00%
000678,襄阳轴承,深证主板,140.69,-0.40%
603712,七一二,上证主板,71.91,-1.20%
002779,中坚科技,深证主板,61.06,2.34%
603579,荣泰健康,上证主板,72.98,-2.93%
603267,鸿远电子,上证主板,178.69,-2.74%
002551,尚荣医疗,深证主板,61.27,-2.15%
002347,泰尔股份,深证主板,111.00,-0.67%
002290,禾盛新材,深证主板,105.32,1.00%
000997,新 大 陆,深证主板,96.38,-2.01%
603338,浙江鼎力,上证主板,135.79,1.30%
603416,信捷电气,上证主板,154.20,0.84%
002981,朝阳科技,深证主板,172.51,2.87%
603600,永艺股份,上证主板,89.95,2.77%
002735,王子新材,深证主板,192.57,-2.99%
600562,国睿科技,上证主板,106.62,0.89%
002931,锋龙股份,深证主板,60.88,1.50%
603657,春光科技,上证主板,86.44,0.76%
002514,宝馨科技,深证主板,69.16,2.31%
002364,中恒电气,深证主板,90.25,0.01%
600281,华阳新材,上证主板,143.05,2.11%
002892,科力尔,深证主板,49.01,-0.70%
002331,皖通科技,深证主板,138.43,2.06%
001356,富岭股份,深证主板,81.76,-1.98%
600523,贵航股份,上证主板,104.53,-2.43%
603488,展鹏科技,上证主板,111.64,1.03%
002651,利君股份,深证主板,110.15,1.74%
000559,万向钱潮,深证主板,88.26,-1.08%
688360,德马科技,科创板,97.05,-2.87%
300747,锐科激光,创业板,159.16,
300902,国安达,创业板,198.47,2.55%
300695,兆丰股份,创业板,20.55,1.55%
300095,华伍股份,创业板,101.48,-2.63%
300433,蓝思科技,创业板,62.90,-1.86%
600150,中国船舶,上证主板,170.95,0.64%
300004,南风股份,创业板,135.65,-0.81%
688282,理工导航,科创板,76.08,1.18%
000008,神州高铁,深证主板,89.59,-2.83%
688132,邦彦技术,科创板,96.72,0.30%
600316,洪都航空,上证主板,122.66,0.83%
300629,新劲刚,创业板,120.01,0.57%
000712,锦龙股份,深证主板,102.94,0.26%
300276,三丰智能,创业板,9.81,2.60%
600760,中航沈飞,上证主板,197.18,-1.83%
300963,中洲特材,创业板,39.41,2.21%
002640,跨境通,深证主板,196.38,-0.68%
605068,明新旭腾,上证主板,134.83,-2.02%
300980,祥源新材,创业板,20.06,2.18%
603897,长城科技,上证主板,20.37,2.29%
300266,兴源环境,创业板,100.35,-2.40%
